id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness,liveness,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.05,0.12,78
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.04,0.08,65
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.05,0.06,0.18,72
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,0.03,0.07,58
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.01,0.08,0.14,85
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.93,0.02,0.05,54
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.42,0.07,0.31,62
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.68,0.04,0.09,70
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.03,0.06,60
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.03,0.06,0.20,74
11,Rainy Porch Blues,Delta Hollow,blues,sad,0.44,68,0.22,0.45,0.88,0.12,0.08,0.45,55
12,Gold Chain Anthem,Cipher Kings,hip-hop,confident,0.87,95,0.73,0.91,0.08,0.00,0.32,0.15,88
13,Velvet Serenade,Luna Rios,r&b,romantic,0.55,84,0.78,0.69,0.42,0.04,0.10,0.19,77
14,Shattered Glass,Iron Veil,metal,angry,0.97,178,0.31,0.52,0.04,0.07,0.05,0.22,68
15,Wildflower Waltz,Creek & Stone,country,nostalgic,0.50,96,0.68,0.61,0.77,0.10,0.09,0.38,64
16,Autumn Sonata,Clara Voss,classical,melancholic,0.25,56,0.38,0.20,0.95,0.96,0.02,0.12,59
17,Campfire Fable,The Hollow Oaks,folk,nostalgic,0.38,104,0.62,0.55,0.83,0.15,0.11,0.52,61
18,Neon Pulse,Circuit Drift,electronic,euphoric,0.92,140,0.88,0.95,0.03,0.55,0.04,0.08,82
